name,imp
item_id,118278
event_name_1,30918
tm_w,23195
tm_d,22207
rolling_mean_180,19637
rolling_std_180,19347
rolling_std_60,17414
rolling_mean_tmp_1_7,16271
rolling_std_30,16261
rolling_std_7,15967
rolling_std_14,15366
rolling_mean_60,15061
rolling_mean_tmp_1_14,14630
rolling_mean_tmp_7_7,13879
rolling_mean_tmp_14_14,13620
tm_dw,13384
rolling_mean_tmp_7_14,13142
rolling_mean_tmp_14_7,12848
rolling_mean_tmp_14_60,12415
rolling_mean_30,12350
rolling_mean_tmp_1_30,12128
rolling_mean_tmp_1_60,12012
rolling_mean_tmp_14_30,11681
rolling_mean_14,11565
rolling_mean_tmp_7_60,11508
rolling_mean_7,11489
rolling_mean_tmp_7_30,11451
enc_item_id_store_id_std,10892
price_momentum_m,10713
enc_item_id_store_id_mean,10136
item_nunique,9752
tm_m,9062
release,8788
price_std,8436
price_min,8422
sales_lag_39,7926
sales_lag_42,7731
sales_lag_41,7648
sales_lag_32,7576
sales_lag_37,7558
sales_lag_38,7547
sales_lag_35,7535
sell_price,7495
sales_lag_40,7493
sales_lag_28,7480
sales_lag_34,7376
sales_lag_36,7311
sales_lag_30,7234
sales_lag_29,7233
sales_lag_33,7192
sales_lag_31,7069
tm_y,6749
price_max,6505
price_mean,6485
price_momentum_y,5374
price_norm,4584
tm_wm,3825
price_nunique,2456
snap_WI,2416
snap_TX,2306
tm_w_end,1741
price_momentum,1735
snap_CA,1477
dept_id,1056
event_type_1,878
enc_store_id_dept_id_mean,503
enc_store_id_dept_id_std,211
event_name_2,48
event_type_2,22
